SiteID,WetlandType,MosquitoRank,CattailMosquito,CulexFound,TreatedBy,Date,Wetness,Action,DipCount,Material,Temperature,Precipitation,CloudCoverage
191031N011,8.2,GREEN,No,Yes,none,09/09/2023,-1,none,,,20,,29
191031N011,8.2,GREEN,No,Yes,none,08/13/2023,-1,none,,,19,,65
191031N011,8.2,GREEN,No,Yes,none,08/14/2023,-1,none,,,17,,75
191031N011,8.2,GREEN,No,Yes,none,08/15/2023,-1,none,,,20,,10
191031N011,8.2,GREEN,No,Yes,none,08/16/2023,-1,none,,,23,,18
191031N011,8.2,GREEN,No,Yes,Ground,08/17/2023,0.85,Treat (by Ground),,Methoprene granules,20,,15
191031N011,8.2,GREEN,No,Yes,none,07/16/2023,-1,none,,,20,,34
191031N011,8.2,GREEN,No,Yes,none,07/17/2023,-1,none,,,19,,20
191031N011,8.2,GREEN,No,Yes,none,07/18/2023,-1,none,,,21,,19
191031N011,8.2,GREEN,No,Yes,none,07/19/2023,-1,none,,,23,,52
191031N011,8.2,GREEN,No,Yes,Ground,07/20/2023,0.75,Treat (by Ground),,Methoprene granules,22,,47
191031N011,8.2,GREEN,No,Yes,none,06/19/2023,-1,none,,,24,,29
191031N011,8.2,GREEN,No,Yes,none,06/20/2023,-1,none,,,25,,2
191031N011,8.2,GREEN,No,Yes,none,06/21/2023,-1,none,,,25,,3
191031N011,8.2,GREEN,No,Yes,none,06/22/2023,-1,none,,,26,,18
191031N011,8.2,GREEN,No,Yes,Ground,06/23/2023,0.85,Treat (by Ground),,Methoprene granules,25,,33
191031N011,8.2,GREEN,No,Yes,none,05/18/2023,-1,none,,,16,,72
191031N011,8.2,GREEN,No,Yes,none,05/19/2023,-1,none,,,11,,48
191031N011,8.2,GREEN,No,Yes,none,05/20/2023,-1,none,,,14,,1
191031N011,8.2,GREEN,No,Yes,none,05/21/2023,-1,none,,,17,,22
191031N011,8.2,GREEN,No,Yes,Ground,05/22/2023,0.95,Inspect+Treat (Ground),0,Methoprene granules,19,,23
191031N011,8.2,GREEN,No,Yes,none,09/16/2022,-1,none,,,22,,64
191031N011,8.2,GREEN,No,Yes,none,09/17/2022,-1,none,,,22,,52
191031N011,8.2,GREEN,No,Yes,none,09/18/2022,-1,none,,,20,,64
191031N011,8.2,GREEN,No,Yes,none,09/19/2022,-1,none,,,20,,8
191031N011,8.2,GREEN,No,Yes,Ground,09/20/2022,0.55,Inspect for Cattail Mosq.,0.1,,23,,42
191031N011,8.2,GREEN,No,Yes,none,09/10/2022,-1,none,,,16,,74
191031N011,8.2,GREEN,No,Yes,none,09/11/2022,-1,none,,,16,,22
191031N011,8.2,GREEN,No,Yes,none,09/12/2022,-1,none,,,18,,42
191031N011,8.2,GREEN,No,Yes,none,09/13/2022,-1,none,,,19,,9
191031N011,8.2,GREEN,No,Yes,Ground,09/14/2022,0.85,Inspect for Cattail Mosq.,0,,21,,11
191031N011,8.2,GREEN,No,Yes,none,08/15/2022,-1,none,,,21,,18
191031N011,8.2,GREEN,No,Yes,none,08/16/2022,-1,none,,,22,,40
191031N011,8.2,GREEN,No,Yes,none,08/17/2022,-1,none,,,21,,55
191031N011,8.2,GREEN,No,Yes,none,08/18/2022,-1,none,,,22,,69
191031N011,8.2,GREEN,No,Yes,Ground,08/19/2022,0.95,Treat (by Ground),,Methoprene granules,20,,75
191031N011,8.2,GREEN,No,Yes,none,07/15/2022,-1,none,,,24,,80
191031N011,8.2,GREEN,No,Yes,none,07/16/2022,-1,none,,,24,,46
191031N011,8.2,GREEN,No,Yes,none,07/17/2022,-1,none,,,25,,38
191031N011,8.2,GREEN,No,Yes,none,07/18/2022,-1,none,,,28,,8
191031N011,8.2,GREEN,No,Yes,Ground,07/19/2022,0.95,Treat (by Ground),,Methoprene granules,28,,37
191031N011,8.2,GREEN,No,Yes,none,06/17/2022,-1,none,,,21,,1
191031N011,8.2,GREEN,No,Yes,none,06/18/2022,-1,none,,,21,,5
191031N011,8.2,GREEN,No,Yes,none,06/19/2022,-1,none,,,26,,37
191031N011,8.2,GREEN,No,Yes,none,06/20/2022,-1,none,,,29,,29
191031N011,8.2,GREEN,No,Yes,Ground,06/21/2022,0.95,Treat (by Ground),,Methoprene granules,27,,12
191031N011,8.2,GREEN,No,Yes,none,05/19/2022,-1,none,,,15,,49
191031N011,8.2,GREEN,No,Yes,none,05/20/2022,-1,none,,,13,,77
191031N011,8.2,GREEN,No,Yes,none,05/21/2022,-1,none,,,8,,72
191031N011,8.2,GREEN,No,Yes,none,05/22/2022,-1,none,,,9,,47
191031N011,8.2,GREEN,No,Yes,Ground,05/23/2022,0.95,Treat (by Ground),,Methoprene granules,11,,52
191031N011,8.2,GREEN,No,Yes,none,04/16/2022,-1,none,,,-0,,29
191031N011,8.2,GREEN,No,Yes,none,04/17/2022,-1,none,,,1,,76
191031N011,8.2,GREEN,No,Yes,none,04/18/2022,-1,none,,,2,,69
191031N011,8.2,GREEN,No,Yes,none,04/19/2022,-1,none,,,2,,73
191031N011,8.2,GREEN,No,Yes,Ground,04/20/2022,0.95,Inspect+Treat (Ground),0,Spinosad granules,7,,79
191031N011,8.2,GREEN,No,Yes,none,09/04/2021,-1,none,,,19,,79
191031N011,8.2,GREEN,No,Yes,none,09/05/2021,-1,none,,,20,,8
191031N011,8.2,GREEN,No,Yes,none,09/06/2021,-1,none,,,20,,8
191031N011,8.2,GREEN,No,Yes,none,09/07/2021,-1,none,,,22,,41
191031N011,8.2,GREEN,No,Yes,Ground,09/08/2021,0.65,Inspect for Cattail Mosq.,0,,18,,28
191031N011,8.2,GREEN,No,Yes,none,08/14/2021,-1,none,,,23,,13
191031N011,8.2,GREEN,No,Yes,none,08/15/2021,-1,none,,,24,,19
191031N011,8.2,GREEN,No,Yes,none,08/16/2021,-1,none,,,23,,2
191031N011,8.2,GREEN,No,Yes,none,08/17/2021,-1,none,,,25,,19
191031N011,8.2,GREEN,No,Yes,Ground,08/18/2021,0.75,Treat (by Ground),,Methoprene granules,26,,23
191031N011,8.2,GREEN,No,Yes,none,02/26/2016,-1,none,,,-2,,32
191031N011,8.2,GREEN,No,Yes,none,02/27/2016,-1,none,,,6,,27
191031N011,8.2,GREEN,No,Yes,none,02/28/2016,-1,none,,,1,,64
191031N011,8.2,GREEN,No,Yes,none,02/29/2016,-1,none,,,-4,,52
191031N011,8.2,GREEN,No,Yes,Ground,03/01/2016,,Treat (by Ground),,Methoprene briquet,-7,,49
191031N011,8.2,GREEN,No,Yes,none,09/27/2015,-1,none,,,20,,2
191031N011,8.2,GREEN,No,Yes,none,09/28/2015,-1,none,,,19,,38
191031N011,8.2,GREEN,No,Yes,none,09/29/2015,-1,none,,,13,,2
191031N011,8.2,GREEN,No,Yes,none,09/30/2015,-1,none,,,11,,2
191031N011,8.2,GREEN,No,Yes,Ground,10/01/2015,0.95,Inspect for Cattail Mosq.,4,,11,,5
191031N011,8.2,GREEN,No,Yes,none,05/09/2015,-1,none,,,13,,12
191031N011,8.2,GREEN,No,Yes,none,05/10/2015,-1,none,,,13,,99
191031N011,8.2,GREEN,No,Yes,none,05/11/2015,-1,none,,,11,,85
191031N011,8.2,GREEN,No,Yes,none,05/12/2015,-1,none,,,7,,64
191031N011,8.2,GREEN,No,Yes,Ground,05/13/2015,0.95,Inspect for Ground trt.,0,,11,,20
191031N011,8.2,GREEN,No,Yes,none,04/12/2015,-1,none,,,15,,25
191031N011,8.2,GREEN,No,Yes,none,04/13/2015,-1,none,,,10,,69
191031N011,8.2,GREEN,No,Yes,none,04/14/2015,-1,none,,,10,,55
191031N011,8.2,GREEN,No,Yes,none,04/15/2015,-1,none,,,11,,53
191031N011,8.2,GREEN,No,Yes,Ground,04/16/2015,0.95,Inspect for Ground trt.,5,,14,,71
191031N011,8.2,GREEN,No,Yes,none,03/07/2015,-1,none,,,-2,,41
191031N011,8.2,GREEN,No,Yes,none,03/08/2015,-1,none,,,1,,20
191031N011,8.2,GREEN,No,Yes,none,03/09/2015,-1,none,,,4,,27
191031N011,8.2,GREEN,No,Yes,none,03/10/2015,-1,none,,,6,,54
191031N011,8.2,GREEN,No,Yes,Ground,03/11/2015,,Treat (by Ground),,Methoprene briquet,3,,64
191031N011,8.2,GREEN,No,Yes,none,09/21/2014,-1,none,,,14,,30
191031N011,8.2,GREEN,No,Yes,none,09/22/2014,-1,none,,,15,,0
191031N011,8.2,GREEN,No,Yes,none,09/23/2014,-1,none,,,17,,23
191031N011,8.2,GREEN,No,Yes,none,09/24/2014,-1,none,,,17,,75
191031N011,8.2,GREEN,No,Yes,Ground,09/25/2014,0.95,Inspect for Cattail Mosq.,0.8,,18,,45
191031N011,8.2,GREEN,No,Yes,none,04/05/2014,-1,none,,,-0,,45
191031N011,8.2,GREEN,No,Yes,none,04/06/2014,-1,none,,,7,,48
191031N011,8.2,GREEN,No,Yes,none,04/07/2014,-1,none,,,7,,66
191031N011,8.2,GREEN,No,Yes,none,04/08/2014,-1,none,,,5,,50
191031N011,8.2,GREEN,No,Yes,Ground,04/09/2014,,Treat (by Ground),0,Methoprene briquet,10,,18
191031N011,8.2,GREEN,No,Yes,none,09/12/2013,-1,none,,,18,,11
191031N011,8.2,GREEN,No,Yes,none,09/13/2013,-1,none,,,15,,0
191031N011,8.2,GREEN,No,Yes,none,09/14/2013,-1,none,,,15,,46
191031N011,8.2,GREEN,No,Yes,none,09/15/2013,-1,none,,,15,,65
191031N011,8.2,GREEN,No,Yes,Ground,09/16/2013,0.95,Inspect for Cattail Mosq.,0.1,,12,,22
191031N011,8.2,GREEN,No,Yes,none,04/11/2013,-1,none,,,-0,,99
191031N011,8.2,GREEN,No,Yes,none,04/12/2013,-1,none,,,-0,,97
191031N011,8.2,GREEN,No,Yes,none,04/13/2013,-1,none,,,-1,,72
191031N011,8.2,GREEN,No,Yes,none,04/14/2013,-1,none,,,-1,,84
191031N011,8.2,GREEN,No,Yes,Ground,04/15/2013,0.95,Treat (by Ground),0,Methoprene briquet,1,,54
191031N011,8.2,GREEN,No,Yes,none,08/27/2012,-1,none,,,22,,0
191031N011,8.2,GREEN,No,Yes,none,08/28/2012,-1,none,,,22,,33
191031N011,8.2,GREEN,No,Yes,none,08/29/2012,-1,none,,,26,,53
191031N011,8.2,GREEN,No,Yes,none,08/30/2012,-1,none,,,28,,23
191031N011,8.2,GREEN,No,Yes,Ground,08/31/2012,0.95,Inspect for Cattail Mosq.,0.6,,23,,14
191031N011,8.2,GREEN,No,Yes,none,03/02/2012,-1,none,,,-1,,81
191031N011,8.2,GREEN,No,Yes,none,03/03/2012,-1,none,,,-4,,87
191031N011,8.2,GREEN,No,Yes,none,03/04/2012,-1,none,,,-7,,59
191031N011,8.2,GREEN,No,Yes,none,03/05/2012,-1,none,,,-5,,34
191031N011,8.2,GREEN,No,Yes,Ground,03/06/2012,0.65,Treat (by Ground),0,Methoprene briquet,5,,19
191031N011,8.2,GREEN,No,Yes,none,02/23/2012,-1,none,,,-1,,51
191031N011,8.2,GREEN,No,Yes,none,02/24/2012,-1,none,,,-4,,80
191031N011,8.2,GREEN,No,Yes,none,02/25/2012,-1,none,,,-7,,70
191031N011,8.2,GREEN,No,Yes,none,02/26/2012,-1,none,,,-2,,82
191031N011,8.2,GREEN,No,Yes,Ground,02/27/2012,,Mapping,0,,-4,,64
191031N011,8.2,GREEN,No,Yes,none,09/16/2011,-1,none,,,11,,46
191031N011,8.2,GREEN,No,Yes,none,09/17/2011,-1,none,,,11,,70
191031N011,8.2,GREEN,No,Yes,none,09/18/2011,-1,none,,,13,,99
191031N011,8.2,GREEN,No,Yes,none,09/19/2011,-1,none,,,15,,46
191031N011,8.2,GREEN,No,Yes,Ground,09/20/2011,0.85,Inspect for Cattail Mosq.,2,,16,,39
191031N011,8.2,GREEN,No,Yes,none,03/20/2011,-1,none,,,5,,91
191031N011,8.2,GREEN,No,Yes,none,03/21/2011,-1,none,,,3,,71
191031N011,8.2,GREEN,No,Yes,none,03/22/2011,-1,none,,,1,,97
191031N011,8.2,GREEN,No,Yes,none,03/23/2011,-1,none,,,-4,,90
191031N011,8.2,GREEN,No,Yes,Ground,03/24/2011,,Treat (by Ground),0,Methoprene briquet,-8,,50
191031N011,8.2,GREEN,No,Yes,none,09/12/2010,-1,none,,,18,,4
191031N011,8.2,GREEN,No,Yes,none,09/13/2010,-1,none,,,16,,3
191031N011,8.2,GREEN,No,Yes,none,09/14/2010,-1,none,,,14,,31
191031N011,8.2,GREEN,No,Yes,none,09/15/2010,-1,none,,,15,,85
191031N011,8.2,GREEN,No,Yes,Ground,09/16/2010,0.95,Inspect for Cattail Mosq.,0.5,,12,,64
191031N011,8.2,GREEN,No,Yes,none,06/21/2010,-1,none,,,22,,39
191031N011,8.2,GREEN,No,Yes,none,06/22/2010,-1,none,,,25,,5
191031N011,8.2,GREEN,No,Yes,none,06/23/2010,-1,none,,,22,,66
191031N011,8.2,GREEN,No,Yes,none,06/24/2010,-1,none,,,22,,8
191031N011,8.2,GREEN,No,Yes,Ground,06/25/2010,0.55,Treat (by Ground),0,Methoprene pellets,22,,30
191031N011,8.2,GREEN,No,Yes,none,03/12/2010,-1,none,,,6,,98
191031N011,8.2,GREEN,No,Yes,none,03/13/2010,-1,none,,,5,,99
191031N011,8.2,GREEN,No,Yes,none,03/14/2010,-1,none,,,8,,88
191031N011,8.2,GREEN,No,Yes,none,03/15/2010,-1,none,,,8,,100
191031N011,8.2,GREEN,No,Yes,Ground,03/16/2010,,Treat (by Ground),0,Methoprene briquet,6,,97
191031N011,8.2,GREEN,No,Yes,none,09/17/2009,-1,none,,,20,,10
191031N011,8.2,GREEN,No,Yes,none,09/18/2009,-1,none,,,21,,14
191031N011,8.2,GREEN,No,Yes,none,09/19/2009,-1,none,,,21,,20
191031N011,8.2,GREEN,No,Yes,none,09/20/2009,-1,none,,,19,,34
191031N011,8.2,GREEN,No,Yes,Ground,09/21/2009,0.75,Inspect for Cattail Mosq.,2,,18,,54
191031N011,8.2,GREEN,No,Yes,none,08/09/2009,-1,none,,,24,,19
191031N011,8.2,GREEN,No,Yes,none,08/10/2009,-1,none,,,22,,19
191031N011,8.2,GREEN,No,Yes,none,08/11/2009,-1,none,,,23,,6
191031N011,8.2,GREEN,No,Yes,none,08/12/2009,-1,none,,,24,,2
191031N011,8.2,GREEN,No,Yes,Ground,08/13/2009,0.85,Treat (by Ground),0,Methoprene pellets,25,,14
191031N011,8.2,GREEN,No,Yes,none,03/09/2009,-1,none,,,1,,46
191031N011,8.2,GREEN,No,Yes,none,03/10/2009,-1,none,,,-1,,100
191031N011,8.2,GREEN,No,Yes,none,03/11/2009,-1,none,,,-14,,94
191031N011,8.2,GREEN,No,Yes,none,03/12/2009,-1,none,,,-13,,15
191031N011,8.2,GREEN,No,Yes,Ground,03/13/2009,,Treat (by Ground),0,Methoprene briquet,-5,,7
191031N011,8.2,GREEN,No,Yes,none,09/06/2008,-1,none,,,15,,30
191031N011,8.2,GREEN,No,Yes,none,09/07/2008,-1,none,,,14,,50
191031N011,8.2,GREEN,No,Yes,none,09/08/2008,-1,none,,,12,,25
191031N011,8.2,GREEN,No,Yes,none,09/09/2008,-1,none,,,14,,12
191031N011,8.2,GREEN,No,Yes,Ground,09/10/2008,0.95,Inspect for Cattail Mosq.,2,,16,,26
191031N011,8.2,GREEN,No,Yes,none,08/07/2008,-1,none,,,21,,9
191031N011,8.2,GREEN,No,Yes,none,08/08/2008,-1,none,,,20,,28
191031N011,8.2,GREEN,No,Yes,none,08/09/2008,-1,none,,,22,,30
191031N011,8.2,GREEN,No,Yes,none,08/10/2008,-1,none,,,19,,6
191031N011,8.2,GREEN,No,Yes,Ground,08/11/2008,0.95,Inspect+Treat (Ground),0,Methoprene pellets,20,,12
191031N011,8.2,GREEN,No,Yes,none,09/27/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/28/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/29/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/30/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,10/01/2007,0.95,Inspect for Cattail Mosq.,2.5,,,,
191031N011,8.2,GREEN,No,Yes,none,09/21/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/22/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/23/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/24/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,09/25/2007,0.95,Inspect for Ground trt.,0.1,,,,
191031N011,8.2,GREEN,No,Yes,none,09/07/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/08/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/09/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/10/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,09/11/2007,0.85,Inspect for Ground trt.,0,,,,
191031N011,8.2,GREEN,No,Yes,none,08/12/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,08/13/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,08/14/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,08/15/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,08/16/2007,0.85,Inspect for Ground trt.,0,,,,
191031N011,8.2,GREEN,No,Yes,none,03/11/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/12/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/13/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/14/2007,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,03/15/2007,,Treat (by Ground),0,Methoprene briquet,,,
191031N011,8.2,GREEN,No,Yes,none,09/17/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/18/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/19/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,09/20/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,09/21/2006,0.75,Inspect for Cattail Mosq.,2,,,,
191031N011,8.2,GREEN,No,Yes,none,03/05/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/06/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/07/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,none,03/08/2006,-1,none,,,,,
191031N011,8.2,GREEN,No,Yes,Ground,03/09/2006,,Treat (by Ground),0,Methoprene briquet,,,
192230-017,3.1,RED,No,Yes,none,08/15/2024,-1,none,,,21,,87
192230-017,3.1,RED,No,Yes,none,08/16/2024,-1,none,,,20,,85
192230-017,3.1,RED,No,Yes,none,08/17/2024,-1,none,,,20,,75
192230-017,3.1,RED,No,Yes,none,08/18/2024,-1,none,,,21,,17
192230-017,3.1,RED,No,Yes,Aerial,08/19/2024,,Aerial Treatment,,Spinosad granules,21,,22
192230-017,3.1,RED,No,Yes,none,07/12/2024,-1,none,,,23,,27
192230-017,3.1,RED,No,Yes,none,07/13/2024,-1,none,,,24,,54
192230-017,3.1,RED,No,Yes,none,07/14/2024,-1,none,,,27,,27
192230-017,3.1,RED,No,Yes,none,07/15/2024,-1,none,,,24,,38
192230-017,3.1,RED,No,Yes,Aerial,07/16/2024,,Aerial Treatment,,Methoprene granules,21,,29
192230-017,3.1,RED,No,Yes,none,06/09/2024,-1,none,,,16,,23
192230-017,3.1,RED,No,Yes,none,06/10/2024,-1,none,,,16,,14
192230-017,3.1,RED,No,Yes,none,06/11/2024,-1,none,,,17,,67
192230-017,3.1,RED,No,Yes,none,06/12/2024,-1,none,,,21,,53
192230-017,3.1,RED,No,Yes,Aerial,06/13/2024,,Aerial Treatment,,Methoprene pellet (M2),21,,37
192230-017,3.1,RED,No,Yes,none,05/09/2024,-1,none,,,12,,36
192230-017,3.1,RED,No,Yes,none,05/10/2024,-1,none,,,13,,31
192230-017,3.1,RED,No,Yes,none,05/11/2024,-1,none,,,14,,12
192230-017,3.1,RED,No,Yes,none,05/12/2024,-1,none,,,19,,33
192230-017,3.1,RED,No,Yes,Aerial,05/13/2024,,Aerial Treatment,,Methoprene granules,15,,17
192230-017,3.1,RED,No,Yes,none,04/11/2024,-1,none,,,9,,67
192230-017,3.1,RED,No,Yes,none,04/12/2024,-1,none,,,8,,29
192230-017,3.1,RED,No,Yes,none,04/13/2024,-1,none,,,13,,10
192230-017,3.1,RED,No,Yes,none,04/14/2024,-1,none,,,15,,4
192230-017,3.1,RED,No,Yes,Aerial,04/15/2024,,Aerial Treatment,,Spinosad granules,13,,35
192230-017,3.1,RED,No,Yes,none,09/17/2023,-1,none,,,16,,22
192230-017,3.1,RED,No,Yes,none,09/18/2023,-1,none,,,17,,22
192230-017,3.1,RED,No,Yes,none,09/19/2023,-1,none,,,19,,39
192230-017,3.1,RED,No,Yes,none,09/20/2023,-1,none,,,22,,18
192230-017,3.1,RED,No,Yes,Aerial,09/21/2023,0.10,Inspect for Cattail Mosq.,0,,21,,36
192230-017,3.1,RED,No,Yes,none,08/17/2023,-1,none,,,20,,15
192230-017,3.1,RED,No,Yes,none,08/18/2023,-1,none,,,20,,4
192230-017,3.1,RED,No,Yes,none,08/19/2023,-1,none,,,26,,14
192230-017,3.1,RED,No,Yes,none,08/20/2023,-1,none,,,24,,18
192230-017,3.1,RED,No,Yes,Aerial,08/21/2023,,Aerial Treatment,,Methoprene granules,22,,35
192230-017,3.1,RED,No,Yes,none,07/13/2023,-1,none,,,22,,48
192230-017,3.1,RED,No,Yes,none,07/14/2023,-1,none,,,24,,61
192230-017,3.1,RED,No,Yes,none,07/15/2023,-1,none,,,22,,34
192230-017,3.1,RED,No,Yes,none,07/16/2023,-1,none,,,20,,34
192230-017,3.1,RED,No,Yes,Aerial,07/17/2023,,Aerial Treatment,,Spinosad granules,19,,20
192230-017,3.1,RED,No,Yes,none,06/10/2023,-1,none,,,21,,61
192230-017,3.1,RED,No,Yes,none,06/11/2023,-1,none,,,16,,9
192230-017,3.1,RED,No,Yes,none,06/12/2023,-1,none,,,18,,29
192230-017,3.1,RED,No,Yes,none,06/13/2023,-1,none,,,22,,24
192230-017,3.1,RED,No,Yes,Aerial,06/14/2023,,Aerial Treatment,,Methoprene granules,22,,34
192230-017,3.1,RED,No,Yes,none,05/11/2023,-1,none,,,19,,67
192230-017,3.1,RED,No,Yes,none,05/12/2023,-1,none,,,18,,71
192230-017,3.1,RED,No,Yes,none,05/13/2023,-1,none,,,17,,100
192230-017,3.1,RED,No,Yes,none,05/14/2023,-1,none,,,14,,54
192230-017,3.1,RED,No,Yes,Aerial,05/15/2023,,Aerial Treatment,,Methoprene granules,15,,8
192230-017,3.1,RED,No,Yes,none,05/01/2023,-1,none,,,7,,76
192230-017,3.1,RED,No,Yes,none,05/02/2023,-1,none,,,9,,3
192230-017,3.1,RED,No,Yes,Aerial,05/03/2023,,Aerial Treatment,10,Bti granules,11,,18
192230-017,3.1,RED,No,Yes,none,05/04/2023,-1,none,,,15,,27
192230-017,3.1,RED,No,Yes,Aerial,05/05/2023,0.55,Inspect for Aerial Trt.,0.5,,13,,99
192230-017,3.1,RED,No,Yes,none,04/29/2023,-1,none,,,6,,86
192230-017,3.1,RED,No,Yes,none,04/30/2023,-1,none,,,5,,90
192230-017,3.1,RED,No,Yes,none,04/21/2023,-1,none,,,4,,66
192230-017,3.1,RED,No,Yes,none,04/22/2023,-1,none,,,1,,95
192230-017,3.1,RED,No,Yes,none,04/23/2023,-1,none,,,2,,52
192230-017,3.1,RED,No,Yes,none,04/24/2023,-1,none,,,3,,48
192230-017,3.1,RED,No,Yes,Aerial,04/25/2023,0.65,Inspect for Aerial Trt.,10,,4,,30
192230-017,3.1,RED,No,Yes,none,08/25/2022,-1,none,,,21,,51
192230-017,3.1,RED,No,Yes,none,08/26/2022,-1,none,,,21,,21
192230-017,3.1,RED,No,Yes,none,08/27/2022,-1,none,,,22,,70
192230-017,3.1,RED,No,Yes,none,08/28/2022,-1,none,,,24,,67
192230-017,3.1,RED,No,Yes,Aerial,08/29/2022,0.10,Inspect for Aerial Trt.,0,,24,,22
192230-017,3.1,RED,No,Yes,none,07/21/2022,-1,none,,,25,,14
192230-017,3.1,RED,No,Yes,none,07/22/2022,-1,none,,,26,,32
192230-017,3.1,RED,No,Yes,none,07/23/2022,-1,none,,,24,,37
192230-017,3.1,RED,No,Yes,none,07/24/2022,-1,none,,,22,,27
192230-017,3.1,RED,No,Yes,Aerial,07/25/2022,,Aerial Treatment,,Spinosad granules,20,,15
