SiteID,WetlandType,MosquitoRank,CattailMosquito,CulexFound,TreatedBy,Date,Wetness,Action,DipCount,Material
192230-017,3.1,RED,No,Yes,Aerial,07/14/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/12/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/15/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,04/30/2015,0.75,Inspect for Aerial Trt.,0.4,
192230-017,3.1,RED,No,Yes,Aerial,04/28/2015,,Aerial Treatment,2,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/27/2015,0.85,Inspect for Aerial Trt.,2,
192230-017,3.1,RED,No,Yes,Aerial,09/02/2014,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/23/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/20/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/22/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,04/22/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,08/30/2013,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/25/2013,,Aerial Treatment,0,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/25/2013,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/21/2013,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/10/2013,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/09/2013,0.75,Inspect for Aerial Trt.,0.6,
192230-017,3.1,RED,No,Yes,Aerial,07/25/2012,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/15/2012,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/15/2012,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/09/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/07/2012,0.85,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,05/04/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/03/2012,0.75,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,04/20/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/19/2012,0.75,Inspect for Aerial Trt.,1.5,
192230-017,3.1,RED,No,Yes,Aerial,04/17/2012,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/04/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/03/2012,0.65,Inspect for Aerial Trt.,0.8,
192230-017,3.1,RED,No,Yes,Aerial,08/31/2011,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/22/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/16/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/02/2011,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/29/2011,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/25/2011,0.65,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,09/17/2010,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/28/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/24/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/21/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/14/2010,0.85,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,05/12/2010,0.85,Inspect for Aerial Trt.,2,
192230-017,3.1,RED,No,Yes,Aerial,04/12/2010,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/09/2010,0.85,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,07/22/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/23/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/19/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/01/2009,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/30/2009,0.95,Inspect for Aerial Trt.,0.2,
192230-017,3.1,RED,No,Yes,Aerial,04/22/2009,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/20/2009,0.95,Inspect for Aerial Trt.,25,
192230-017,3.1,RED,No,Yes,Aerial,09/24/2008,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/10/2008,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/28/2008,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/21/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/18/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/14/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/05/2008,0.95,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/29/2008,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/21/2008,0.95,Inspect for Aerial Trt.,5,
192230-017,3.1,RED,No,Yes,Aerial,09/28/2007,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/19/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/07/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/30/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,07/27/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/05/2007,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/20/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/10/2007,0.55,Inspect for Aerial Trt.,0.1,
192230-017,3.1,RED,No,Yes,Aerial,04/24/2007,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/18/2007,0.75,Inspect for Aerial Trt.,4,
192230-017,3.1,RED,No,Yes,Aerial,09/15/2006,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/25/2006,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/18/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/14/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/02/2006,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/02/2006,0.85,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,05/01/2006,0.85,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/24/2006,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/20/2006,,Aerial Treatment,0,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,08/15/2024,0.75,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/15/2024,0.85,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/14/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,05/17/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,04/17/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/15/2023,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/17/2023,0.25,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/14/2023,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/19/2022,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/25/2022,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/22/2022,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,05/24/2022,0.55,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/30/2021,0.0,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,07/26/2021,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/22/2021,0.0,Treat (by Ground),0,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,05/19/2021,0.55,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,04/19/2021,0.75,Inspect+Treat (Ground),1,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/27/2020,0.0,Treat (by Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/07/2020,0.65,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/08/2020,0.65,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/10/2020,0.75,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,05/12/2020,0.95,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,07/09/2019,0.75,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,06/03/2019,0.95,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,04/26/2019,0.55,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,08/29/2018,0.25,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,07/09/2018,0.55,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,05/07/2018,0.95,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,07/17/2017,0.10,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,06/14/2017,0.85,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,05/12/2017,0.65,Inspect+Treat (Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,04/10/2017,0.85,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,07/13/2016,0.65,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,06/13/2016,0.85,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,05/13/2016,0.85,Inspect+Treat (Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,04/13/2016,0.55,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,08/26/2015,0.75,Inspect+Treat (Ground),20,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,07/10/2015,0.85,Inspect+Treat (Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,06/18/2015,0.85,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/09/2015,0.75,Treat (by Ground),,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,05/07/2015,0.55,Inspect+Treat (Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,04/23/2015,0.75,Inspect+Treat (Ground),1,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,08/11/2014,0.0,Treat (by Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,07/16/2014,0.85,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/17/2014,0.85,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/11/2014,0.75,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/05/2014,0.55,Inspect for Ground trt.,0.1,
192230-047,2.1,GREEN,No,Yes,Ground,05/30/2014,0.75,Inspect+Treat (Ground),0.5,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/16/2014,0.65,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,04/17/2014,0.75,Inspect+Treat (Ground),0.1,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,08/30/2013,0.0,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,08/08/2013,0.0,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,07/17/2013,0.25,Inspect+Treat (Ground),500,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,06/26/2013,0.75,Inspect+Treat (Ground),2,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/24/2013,0.75,Inspect+Treat (Ground),100,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,07/27/2012,0.0,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/20/2012,0.95,Inspect+Treat (Ground),5,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/30/2012,0.95,Inspect+Treat (Ground),2,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/21/2012,0.65,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,05/10/2012,0.95,Inspect+Treat (Ground),5,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,04/24/2012,0.75,Inspect+Treat (Ground),1,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,04/12/2012,0.65,Inspect+Treat (Ground),5,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,08/16/2011,0.10,Treat (by Ground),0,Methoprene pellets
192230-047,2.1,GREEN,No,Yes,Ground,08/04/2011,0.75,Inspect+Treat (Ground),10,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,07/20/2011,0.95,Inspect+Treat (Ground),12,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,07/13/2011,0.25,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,06/23/2011,1.00,Inspect+Treat (Ground),15,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,06/20/2011,1.00,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,05/25/2011,1.00,Inspect+Treat (Ground),20,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/13/2011,0.95,Inspect+Treat (Ground),4,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,05/03/2011,0.55,Inspect for Ground trt.,0,
